"ID","Sistema","AguaSubterrane","Biodiversidad","Pesticida","Ganancia","Fertilizante","Nitrogeno"
1,1,0,50,5.5,10,20,10
2,1,0,50,6,8,21,11
3,1,0,51,5.5,6.5,26,12
4,1,0,53,6,10,27,15
5,1,0,56,6.5,15,21,13
6,1,0,57,5,12,19,14
7,1,0,58,5,11.5,28,18
8,1,0,59,6,10,25,15
9,1,1,54,5.5,14,26,15
10,1,1,56,6,9,24,15
11,1,1,56,5.5,10,23,15
12,1,0,52,6,15,22,16
13,1,0,51,6.5,13,22,16
14,1,0,58,5,11,22,14
15,1,1,51,5,10,22,14
16,1,0,53,5.5,10,26,12
17,1,0,56,6,11,25,14
18,1,0,90,5.5,16,26,15
19,1,0,58,6,9,27,16
20,1,0,59,6.5,11,26,15
21,1,1,51,5,10,24,16
22,1,0,58,5,10.5,23,14
23,1,0,51,5.5,11,22,15
24,1,1,53,6,15,22,14
25,1,0,51,5.5,10,22,15
26,2,1,80,0.5,18,50,20
27,2,0,81,1,19,51,21
28,2,0,88,0.5,14,53,20
29,2,1,89,1,18,54,21
30,2,1,84,1.5,16,55,20
31,2,0,85,0,21,59,20
32,2,1,86,0,14,57,20
33,2,1,83,1,15,57,20
34,2,1,84,0.5,17,57,21
35,2,1,81,1,16,53,22
36,2,0,86,0.5,18,54,26
37,2,0,89,1,18,55,22
38,2,0,84,1.5,17,59,22
39,2,1,85,0,17,57,22
40,2,1,82,0,16,57,21
41,2,1,83,0.5,16,53,21
42,2,0,86,1,16,54,20
43,2,0,45,0.5,18,55,20
44,2,0,85,1,18,59,20
45,2,0,86,1.5,15,57,23
46,2,1,83,0,16,54,22
47,2,1,84,0,16,55,22
48,2,1,81,0.5,16,57,24
49,2,0,86,1,14,57,21
50,2,1,86,0.5,15,53,21
51,3,1,65,2,7,44,18
52,3,1,69,2.5,7,41,16
53,3,1,64,2,7,39,17
54,3,1,61,2.5,7,38,18
55,3,1,63,3,7,44,16
56,3,1,67,1.5,7.5,45,18
57,3,1,68,1.5,6.5,44,16
58,3,1,64,2.5,6.5,42,19
59,3,1,68,2,7.5,43,18
60,3,0,63,2.5,7,42,16
61,3,0,67,2,7,41,16
62,3,0,68,2.5,7.5,43,18
63,3,0,65,3,6.8,43,17
64,3,0,63,1.5,7.1,42,18
65,3,1,67,1.5,6.3,43,16
66,3,1,61,2,7.5,43,18
67,3,1,69,2.5,7,44,16
68,3,1,68,2,7,45,19
69,3,1,65,2.5,8,44,18
70,3,0,64,3,6,44,16
71,3,0,61,1.5,6.8,44,19
72,3,0,65,1.5,7,42,19
73,3,1,63,2,7,41,18
74,3,1,67,2.5,7,43,16
75,3,1,61,2,7,43,18
76,4,1,75,4,12,22,30
77,4,1,79,4.5,14,15,31
78,4,1,81,4,12,16,35
79,4,1,74,4.5,10,18,31
80,4,1,78,5,8.5,16,32
81,4,1,76,3.5,12,15,34
82,4,1,77,3.5,17,22,31
83,4,1,79,4.5,14,21,36
84,4,1,77,4,13.5,18,38
85,4,1,82,4.5,12,27,34
86,4,1,85,4,16,19,31
87,4,1,74,4.5,11,21,30
88,4,0,78,5,12,14,35
89,4,0,74,3.5,17,15,33
90,4,0,79,3.5,15,16,33
91,4,1,77,4,13,16,33
92,4,1,82,4.5,12,22,34
93,4,1,74,4,12,21,31
94,4,1,78,4.5,13,18,31
95,4,1,76,5,18,27,31
96,4,1,77,3.5,11,19,35
97,4,1,78,3.5,13,21,35
98,4,1,79,4,12,14,34
99,4,1,77,4.5,12.5,15,32
100,4,1,82,4,13,16,33
